map{ id = "1_aaa_corrupted_save_map", description = "_corrupted_save_map" }
enemy{ id = "normal_enemies/rock_spider_brown", description = "rock spider - brown" }
enemy{ id = "normal_enemies/rock_spider_red", description = "rock spider - red" }
enemy{ id = "normal_enemies/sea_hag_enemy", description = "SeaHag-enemy" }
enemy{ id = "normal_enemies/seaweed_blob", description = "Seaweed Blob" }
enemy{ id = "normal_enemies/seaweed_golem_1", description = "Seaweed Golem 1" }
enemy{ id = "normal_enemies/shield_beetle", description = "Shield Beetle" }
enemy{ id = "normal_enemies/shooty_fish", description = "Shooty Fish" }
enemy{ id = "normal_enemies/skeleton_1", description = "Skeleton 1" }
enemy{ id = "normal_enemies/skeleton_3", description = "Skeleton3-Armored" }
enemy{ id = "normal_enemies/skeleton_bruiser", description = "Skeleton Bruiser" }
enemy{ id = "normal_enemies/skeleton_summoner", description = "Skeleton Summoner" }
enemy{ id = "normal_enemies/spitrock_small", description = "Spitrock-small" }
enemy{ id = "normal_enemies/spitstump_small", description = "Spitstump - Small" }
enemy{ id = "normal_enemies/squid_mage_1", description = "Squid Mage 1" }
enemy{ id = "normal_enemies/squid_mage_2", description = "Squid Mage 2" }
enemy{ id = "normal_enemies/squid_mage_3" }
enemy{ id = "normal_enemies/stump_duck", description = "Stump Duck" }
enemy{ id = "normal_enemies/sword_soldier_blue", description = "sword soldier blue" }
enemy{ id = "normal_enemies/triangle_crab_red", description = "Triangle Crab-Red" }
enemy{ id = "normal_enemies/trumpet_player_disguise", description = "Trumpet Player Disguise" }
enemy{ id = "normal_enemies/willowisp", description = "Willowisp" }
enemy{ id = "normal_enemies/zora", description = "Zora" }

entity{ id = "ally", description = "ally" }
entity{ id = "arrow", description = "arrow" }
entity{ id = "arrow_bomb", description = "Bomb Arrow" }
entity{ id = "arrow_fire", description = "arrow_fire" }
entity{ id = "arrow_trap", description = "Arrow Trap" }
entity{ id = "arrow_warp", description = "Arrow- Warp" }
entity{ id = "bee", description = "bee" }
entity{ id = "chain_link", description = "Chain Link" }
entity{ id = "cliff", description = "cliff" }
entity{ id = "collapsing_floor", description = "Collapsing Floor" }
entity{ id = "custom_bomb", description = "custom_bomb" }
entity{ id = "damaging_sparkle", description = "Damaging Sparkle" }
entity{ id = "dash_moth", description = "Dash Moth" }
entity{ id = "ephemeral_effect", description = "Ephereral Effect" }
entity{ id = "fire", description = "Fire" }
entity{ id = "fire_grate", description = "Fire Grate" }
entity{ id = "flail_obstacle", description = "Flail Obstacle" }
entity{ id = "leaf_pile", description = "Leaf Pile" }
entity{ id = "moving_platform", description = "Moving Platform" }
entity{ id = "moving_platform_OLD", description = "OLDmoving Platform" }
entity{ id = "particle_emitter", description = "Particle emitter" }
entity{ id = "particle_emitter_2", description = "Particle Emitter 2" }
entity{ id = "prickles_blocking", description = "Prickles-Blocking" }
entity{ id = "rockpile", description = "Rock Pile" }
entity{ id = "stair_entity", description = "Stair Entity" }
entity{ id = "torch", description = "torch" }
entity{ id = "toss_ball", description = "Toss Ball" }
entity{ id = "warp_block", description = "Warp Block" }

language{ id = "de", description = "Deutsch" }
language{ id = "en", description = "English" }
language{ id = "es", description = "Español" }
language{ id = "fr", description = "Français" }
language{ id = "ja", description = "日本語" }
language{ id = "pt", description = "Português" }
language{ id = "ru", description = "Русский" }
language{ id = "zh", description = "中文" }

font{ id = "CartographerTiny", description = "CartographerTiny" }
font{ id = "FiveByFive", description = "FiveByFive" }
font{ id = "GlasstownNbp", description = "GlasstownNbpRegular-RyMM" }
font{ id = "GnuUnifontFull", description = "GnuUnifontFull" }
font{ id = "JF-Dot-k12x10", description = "JF-Dot-k12x10" }
font{ id = "JF-Dot-milkjf16", description = "JF-Dot-milkjf16" }
font{ id = "LitterLover2-Bold", description = "LitterLover2-Bold" }
font{ id = "basis33", description = "basis33" }
font{ id = "enter_command", description = "enter_command" }
font{ id = "green_digits", description = "Green digits" }
font{ id = "oceansfont", description = "oceansfont" }
font{ id = "oceansfont_medium", description = "oceansfont_medium" }
font{ id = "oceanstitle", description = "Oceanstitle" }
font{ id = "pixolde/Pixolde", description = "pixolde/Pixolde" }
font{ id = "pixolde/Pixolde-Bold", description = "pixolde/Pixolde-Bold" }
font{ id = "proggy/ProggyTinySZ", description = "proggy/ProggyTinySZ" }
font{ id = "slightly_narrow_basis", description = "slightly_narrow_basis" }
font{ id = "white_digits", description = "White digits" }
font{ id = "wqy-zenhei", description = "wqy-zenhei" }

shader{ id = "noise_reducer", description = "noise reducer" }

file{ path = "enemies", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/abyss_beast.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/assassinbeard.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/aubrey.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/avalanche_golem.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/bart.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/blackbeard.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/burrow_crab.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/burrow_crab_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/centipede_king.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/centipede_king_legs.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/charging_pirate_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/crow_lord.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/crow_mech.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/fiend_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/forest_revenant.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/jazari.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/litton.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/michael.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/moss_boss.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/ophira.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/pollutant_boss.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/rock_spider_big.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/rock_spider_fire.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/sea_hag.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/sea_king.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/seamonster.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/skeleton_lord.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/thyme.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/bosses/zephyrine.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/general_enemy_example.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/archer_dodge.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/archer_teleport.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/blade_trap.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/general_enemy.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/hinox.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/melee_attacker.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/melee_summoner.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/movement_patterns.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/normal_functions.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/ogre.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/properties_setter.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/ranged_attacker.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/run_away_bird.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/sentry.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/soldier.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/toward_hero_octorok.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/towards_hero.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/turret.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/underground_random.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/underground_toward_hero.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/waiting_for_hero.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/lib/zora.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/arrow_4.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/arrow_any_direction.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/barrel_cannon.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/big_stone.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/black_blast.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/blue_fire.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/bomb_4_direction.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/bomb_any_direction.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/crusher.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/curse_blast.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/curse_skull.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/default.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/dove.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/enemy_weapon.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/energy_ball_black.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/energy_ball_black_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/energy_ball_bounce.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/energy_ball_small.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/energy_ball_small_black.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/energy_ball_split.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/explosive_barrel.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/falling_egg.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/falling_rock.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/fire.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/fire_blast.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/fireball_red_small.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/gargoyle_cat.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/jelly_needle.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/lightning_strike.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/lionhead.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/nitrodendron_bomb.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/octorok_stone.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/octorok_stone_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/orange.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/pollutant_blocker.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/pollution_puddle.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/root_small.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/sea_blast.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/seagull.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/seamonster_tentacle.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/skeleton_hand.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/spore.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/steam_attack.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/stone_dragon_turret.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/stone_projectile.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/thyme_bomb.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/weak_tree.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/misc/zora_fire.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/arborgeist_acorn.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/arborgeist_bomber.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/arborgeist_gust.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/arborgeist_rogue.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/arborgeist_stump.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/aster_enemy.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/automatic_crow_knight.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/bat_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/bat_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/birdfox_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/blade_trap.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/blade_trap_circle.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/blade_trap_collision.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/blade_trap_linear.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/boulder_bro.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/burrow_like.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/centipede.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/centipede_legs.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/chest_mimic.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/crow.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/crow_xxl.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/crowbot.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/cyclops_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/dasher.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/drowned_spirit.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/frog.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/gel_big.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/gel_black.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/ghost_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/ghost_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/gravel_guy.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/grim_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/guard_goatshead_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/hive.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/hornet.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/jellyfish.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/kappa.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/mandrake.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/mandrake_white.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/meandershroom_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/moss_bop.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/mud_golem_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/octorok.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/ogre_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/ogre_armor.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/ogre_knight.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/ophira_goblin.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/ophira_goblin_mage.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pirate_boomerang_boss.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pirate_bow_brown_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pirate_bruiser.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pirate_gunner.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pirate_shield.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pirate_sniper.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pirate_sword_brown_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pirate_sword_brown_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pirate_sword_brown_3.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/pollutant_blob.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/rambleshroom.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/roc_bomber.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/rock_spider_brown.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/rock_spider_red.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/sea_hag_enemy.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/seaweed_blob.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/seaweed_golem_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/shield_beetle.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/shooty_fish.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/skeleton_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/skeleton_3.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/skeleton_bruiser.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/skeleton_summoner.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/spitrock_small.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/spitstump_small.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/squid_mage_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/squid_mage_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/squid_mage_3.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/stump_duck.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/sword_soldier_blue.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/triangle_crab_red.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/trumpet_player_disguise.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/willowisp.lua", author = "Max Mraz", license = "MIT" }
file{ path = "enemies/normal_enemies/zora.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities", author = "Max Mraz", license = "MIT" }
file{ path = "entities/ally.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/arrow.lua", author = "Christopho, Max Mraz", license = "GPL v3" }
file{ path = "entities/arrow_bomb.lua", author = "Christopho, Max Mraz", license = "GPL v3" }
file{ path = "entities/arrow_fire.lua", author = "Christopho, Max Mraz", license = "GPL v3" }
file{ path = "entities/arrow_trap.lua", author = "Christopho, Max Mraz", license = "GPL v3" }
file{ path = "entities/arrow_warp.lua", author = "Christopho, Max Mraz", license = "GPL v3" }
file{ path = "entities/bee.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/chain_link.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/cliff.lua", author = "Christopho", license = "GPL v3" }
file{ path = "entities/collapsing_floor.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/custom_bomb.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/damaging_sparkle.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/dash_moth.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/ephemeral_effect.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/fire.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/fire_grate.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/flail_obstacle.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/leaf_pile.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/moving_platform.lua", author = "Wizard Wizzle, Diarandor, Max Mraz", license = "GPL v3" }
file{ path = "entities/moving_platform_OLD.lua", author = "Wizard Wizzle, Diarandor", license = "GPL v3" }
file{ path = "entities/particle_emitter.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/particle_emitter_2.lua", author = "Rhytendo (I think?)", }
file{ path = "entities/prickles_blocking.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/rockpile.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/stair_entity.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/torch.lua", author = "Christopho", license = "GPL v3" }
file{ path = "entities/toss_ball.lua", author = "Max Mraz", license = "MIT" }
file{ path = "entities/warp_block.lua", author = "Max Mraz", license = "MIT" }
file{ path = "fonts/CartographerTiny.ttf", author = "Max Mraz", license = "CC0" }
file{ path = "fonts/FiveByFive.ttf", author = "Jeti", license = "CC-BY 4.0" }
file{ path = "fonts/GlasstownNbp.ttf", author = "Nate Halley", license = "CC-BY-SA 3.0" }
file{ path = "fonts/GnuUnifontFull.ttf", author = "St. GIGAFONT", license = "GPL" }
file{ path = "fonts/JF-Dot-k12x10.ttf", author = "Mr. Hiroshi Tachibana, Mr. Toshiyuki Imamura", license = "Public Domain" }
file{ path = "fonts/JF-Dot-milkjf16.ttf", author = "Mr. Nippon Farm, Mr. Chisato Yamauchi ", license = "MIT" }
file{ path = "fonts/LitterLover2-Bold.ttf", author = "Jeti", license = "CC-BY 4.0" }
file{ path = "fonts/basis33.ttf", author = "Tristan Grimmer, Manchson", license = "MIT" }
file{ path = "fonts/enter_command.ttf", author = "Jeti", license = "CC-BY 4.0" }
file{ path = "fonts/green_digits.png", author = "Max Mraz", license = "CC-BY-SA 4.0" }
file{ path = "fonts/oceansfont.png", author = "Max Mraz", license = "CC-BY-SA 4.0" }
file{ path = "fonts/oceansfont_medium.png", author = "Max Mraz", license = "CC-BY-SA 4.0" }
file{ path = "fonts/oceanstitle.png", author = "Max Mraz", license = "CC-BY-SA 4.0" }
file{ path = "fonts/slightly_narrow_basis.ttf", author = "Tristan Grimmer, Manchson, Max Mraz", license = "MIT" }
file{ path = "fonts/white_digits.png", author = "Max Mraz", license = "CC-BY-SA 4.0" }
file{ path = "fonts/wqy-zenhei.ttc", author = "WenQuanYi project: http://wenq.org/en", license = "GPL v2" }
file{ path = "items/abyssal_flame.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/amulet.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/apples.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/armor_tools.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/armor_upgrade_1.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/armor_upgrade_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/arrow.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/aster_note.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/attack_upgrade.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/bag_of_money.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/bait.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/ball_and_chain.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/ball_and_chain_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/barrier.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/berries.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/bomb.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/bomb_arrow_ticket.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/bombino_backpack.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/bombs_counter_2.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/bombs_counter_DONTUSE.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/boomerang.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/bow.lua", author = "Christopho, Max Mraz", license = "GPL v3" }
file{ path = "items/bow_bombs.lua", author = "Christopho, Max Mraz", license = "GPL v3" }
file{ path = "items/bow_fire.lua", author = "Christopho, Max Mraz", license = "GPL v3" }
file{ path = "items/bow_warp.lua", author = "Christopho, Max Mraz", license = "GPL v3" }
file{ path = "items/bread.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/burdock.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/chamomile.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/charts.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/contract.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/coral_ore.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/crow_feather.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/crystal_spark.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/cyclone_charm.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/dandelion_charm.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/dandelion_seeds.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/dash.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/defense_upgrade.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/elixer.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/empty.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/ether_bombs.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/ether_bombs_pickable.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/fast_travel_chart_ballast_harbor.lua", author = "Max Mraz", license = "MIT" }
file{ path = "items/fast_travel_chart_goatshead.lua", author = "Max Mraz", license = "MIT" }
